date,CTL,T,CSCO,FCX,XL,IVZ,AMT,WHR,IR,WFT,YUM,CVS,GD,TYC,EL,MUR,CTAS,CBSA,SNV,CAM,DLTR,CAH,DTE,SSP,PSA,EXC,TKR,CMA,ORCL,MS,RSG,ACAS,AGN,MMM,ETFC,CAR,MDR,NOV,PCH,BAX,JCI,SWK,DVN,TMO,PEP,LNC,EMR,MLM,CCI,NU,Market,,,,,,
200011,-8.480499,-4.7671,-11.1369,1.5748,4.4065,-29.7133,-26.4122,-9.2759,7.0728,-8.7329,20,7.438,6.5502,-6.946,-6.7295,-4.8544,9.8383,-10.262,2.6087,-0.4587,-4.7923,5.4749,5.0173,1.3091,-2.5,10.1871,-3.1644,-13.6788,-19.697,-21.0895,8.3721,-3.3994,10.5041,3.9638,-45.0644,-23.4375,-7.0968,8.974401,-5.2313,5.3232,-7.5472,2.0376,-2.2817,0,-6.3226,-6.5891,-0.2451,2.9036,-21.4433,6.319,-10.2371,,,,,,
200012,1.5986,-13.083,-20.1044,6.2016,9.4753,36.4706,25.7261,21.885,4.0373,41.8386,-8.3333,5.3846,2.2951,5.237,1.2698,10.3881,4.4172,-8.5158,22.2486,21.7742,-34.2282,-0.2827,3.9934,6.455,11.8291,5.9774,12.5581,14.8139,9.6698,25.0493,18.0258,21.654,4.3098,20.6508,-7.8125,4.7619,19.4444,21.3725,7.1856,3.3664,-5.1066,15.7773,23.8985,2.5862,9.5372,4.7026,8.1475,7.4286,13.6483,12.4638,2.0426,,,,,,
200101,-12.2238,1.788,-2.1242,36.6423,-15.1016,5.977,-4.4224,10.0708,5.8149,3.4497,9.1515,-1.1345,-8.6667,10.991,-13.0385,-4.1324,-11.8073,19.1277,2.7193,-2.7739,24.2347,-4.3413,-9.3676,2.2664,6.9409,-13.8157,8.1653,1.5579,0.2151,7.2934,-20,-0.2481,-15.5584,-8.1743,89.8305,33.0909,31.1628,-5.6801,-2.7188,-0.4897,24.9615,10.0441,-10.1197,-0.3361,-11.082,-4.5601,-3.5686,0.1655,3.2333,-6.8866,3.9599,,,,,,
200102,-8.1581,-1.3444,-36.7279,20.0855,3.0871,-13.6876,-20.0552,1.3717,-1.7829,6.4443,6.8851,3.0405,-3.9448,-11.2825,1.4173,9.3286,-22.8581,-9.8232,0.5421,-6.9282,-8.6242,6.5058,2.8903,-1.8974,-1.0385,8.944799,-1.1002,5.5556,-34.7639,-23.1958,21.0182,0.1244,6.4709,2.4401,-35.6429,2.1077,-8.156,-0.7947,-0.3522,4.7906,2.3084,1.3986,4.0146,-5.9022,4.5609,-2.1851,-11.4704,8.7798,-10.0671,-9.211699,-9.909901,,,,,,
200103,-0.0694,-6.4361,-33.2454,-7.1174,0.0789,-26.6816,-36.0746,-5.4473,-8.3968,-5.1509,-0.8052,-4.1148,-7.9789,-20.8737,-5.6159,5.7329,9.4525,-11.8637,-2.4892,-9.6688,-30.7303,-4.6502,11.03,-7.8818,2.876,0.3518,-2.1875,-2.6866,-21.1579,-17.8566,12.6803,3.2248,-14.7211,-7.8492,-22.5305,11.5443,-2.3166,-4.337,-0.4673,2.2261,-5.5806,-4.6552,2.193,-19.4265,-4.3186,-3.1912,-7.3244,-7.0729,-41.0448,-14.8039,-7.039,,,,,,
200104,-5.4609,-6.9992,7.3834,8.5057,-6.9278,25.8621,44.8649,11.5623,18.3581,17.9939,17.3606,0.8848,23.3025,23.4559,9.1433,23.1601,11.1365,17.9775,6.5926,16.7778,8.5872,4.4961,5.3266,10.7814,3.7333,5.2592,9.2652,-16.374,7.8772,17.7944,-4,4.1769,2.4949,14.5428,34.6705,21.5901,-3.4783,14.2073,9.7027,-3.1761,15.9142,10.0152,1.3917,17.2598,-0.3185,9.4066,7.5,7.6581,65.3333,2.7043,8.3831,,,,,,
200105,4.8197,4.3636,13.4276,10.6638,12.9378,3.1507,-7.6866,13.3764,5.3617,-3.1942,1.9634,-6.8702,0.5708,7.6447,2.1384,2.9573,6.4597,10.1905,5.5594,9.8636,23.2314,6.8101,6.6794,5.2632,1.4322,-1.1694,4.5614,10.6358,-5.3218,3.5356,2.1111,4.4906,18.1447,0.1428,-20.2128,8.1173,15.3153,-12.7686,-0.6705,8.3489,-2.7624,5.4621,-1.3557,5.8801,2.1684,6.6724,2.1643,7.7007,-32.2172,8.3473,1.0458,,,,,,
200106,6.5401,-6.9454,-5.5036,-29.4831,3.2704,-8.0212,-16.4511,-0.6201,-16.5147,-14.8483,-3.9387,-29.6904,0.3741,-5.0957,6.2808,-12.4331,-0.8362,-8.3146,3.7113,-19.4573,7.9907,-4.1186,4.9978,2.298,8.1463,-5.4556,-4.2938,2.0035,24.183,-1.1998,7.9978,3.3898,-6.3211,-3.778,-14,1.6684,-17.2585,-22.3188,0.0873,2.2681,3.3807,10.2105,-9.7234,-21.1035,-0.9272,5.0975,-10.6484,0.2431,-1.2048,7.8482,-1.7554,,,,,,
200107,2.1782,13.046,5.6044,-2.6244,-6.5164,-7.7678,-17.9971,12.864,6.0194,-12.1875,4.2141,-6.5609,4.3182,-2.4032,-8.2367,4.0082,8.4757,-5.7692,8.8273,-8.7634,-6.5014,6.7101,-9.0224,1.1884,-0.4384,-11.884,-1.5939,6.9271,-4.8421,-6.5079,0.2519,-2.7085,-10.401,-1.9457,0.4651,4.359,-5.236,-29.1045,-1.424,-1.3861,11.2184,4.0831,3.2571,3.5422,5.4977,-0.8019,-5.1901,-10.9315,-40.5488,-3.6145,-1.8294,,,,,,
200108,13.3721,-9.1495,-15.0364,15.0558,8.7427,-8.8917,-14.6313,-5.9257,-6.7308,-21.0676,-6.8415,0.2777,-2.386,-2.3496,-1.7699,-0.8817999,-7.1955,-15.086,-9.8097,-15.0462,-8.835999,-0.9371001,2.4615,-6.0441,12.3306,-2.615,-8.9382,-2.9875,-32.4668,-10.8158,-0.2513,3.37,-3.9182,-6.4176,-1.2346,-6.2899,-3.5326,-18.2105,-2.27,3.6145,-9.119101,-3.3494,-14.6467,-1.1957,0.7934999,-2.2928,-5.8883,-10.0726,4.5128,-1.875,-5.898,,,,,,
